"parent_id","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
"state_pe_24","state_pe_24","state_pe_2401",NULL,1459,173,"Tumbes","2401",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1169,NULL
"state_pe_13","state_pe_13","state_pe_1302",NULL,1460,173,"Ascope","1302",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_21","state_pe_21","state_pe_2108",NULL,1461,173,"Melgar","2108",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_02","state_pe_02","state_pe_0209",NULL,1462,173,"Corongo","0209",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_10","state_pe_10","state_pe_1010",NULL,1463,173,"Lauricocha","1010",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_13","state_pe_13","state_pe_1310",NULL,1464,173,"Santiago De Chuco","1310",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_04","state_pe_04","state_pe_0407",NULL,1465,173,"Islay","0407",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1149,NULL
"state_pe_10","state_pe_10","state_pe_1001",NULL,1466,173,"Huanuco","1001",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_02","state_pe_02","state_pe_0218",NULL,1467,173,"Santa","0218",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_08","state_pe_08","state_pe_0813",NULL,1468,173,"Urubamba","0813",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_02","state_pe_02","state_pe_0204",NULL,1469,173,"Asuncion","0204",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_06","state_pe_06","state_pe_0609",NULL,1470,173,"San Ignacio","0609",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_12","state_pe_12","state_pe_1207",NULL,1471,173,"Tarma","1207",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_25","state_pe_25","state_pe_2503",NULL,1472,173,"Padre Abad","2503",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1170,NULL
"state_pe_21","state_pe_21","state_pe_2114",NULL,1473,173,"Juliaca","2114",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_02","state_pe_02","state_pe_0213",NULL,1474,173,"Mariscal Luzuriaga","0213",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_15","state_pe_15","state_pe_1509",NULL,1475,173,"Oyon","1509",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_09","state_pe_09","state_pe_0907",NULL,1476,173,"Tayacaja","0907",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1154,NULL
"state_pe_13","state_pe_13","state_pe_1312",NULL,1477,173,"Viru","1312",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_02","state_pe_02","state_pe_0214",NULL,1478,173,"Ocros","0214",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_12","state_pe_12","state_pe_1205",NULL,1479,173,"Junin","1205",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_10","state_pe_10","state_pe_1011",NULL,1480,173,"Yarowilca","1011",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_02","state_pe_02","state_pe_0201",NULL,1481,173,"Huaraz","0201",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_06","state_pe_06","state_pe_0608",NULL,1482,173,"Jaen","0608",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_10","state_pe_10","state_pe_1003",NULL,1483,173,"Dos De Mayo","1003",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_21","state_pe_21","state_pe_2112",NULL,1484,173,"Sandia","2112",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1166,NULL
"state_pe_11","state_pe_11","state_pe_1103",NULL,1485,173,"Nazca","1103",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1156,NULL
"state_pe_13","state_pe_13","state_pe_1308",NULL,1486,173,"Pataz","1308",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_22","state_pe_22","state_pe_2207",NULL,1487,173,"Picota","2207",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_22","state_pe_22","state_pe_2208",NULL,1488,173,"Rioja","2208",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_02","state_pe_02","state_pe_0202",NULL,1489,173,"Aija","0202",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_22","state_pe_22","state_pe_2209",NULL,1490,173,"San Martin","2209",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_01","state_pe_01","state_pe_0107",NULL,1491,173,"Utcubamba","0107",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_05","state_pe_05","state_pe_0507",NULL,1492,173,"Parinacochas","0507",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1150,NULL
"state_pe_12","state_pe_12","state_pe_1203",NULL,1493,173,"Chanchamayo","1203",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_06","state_pe_06","state_pe_0601",NULL,1494,173,"Cajamarca","0601",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_22","state_pe_22","state_pe_2201",NULL,1495,173,"Moyobamba","2201",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_13","state_pe_13","state_pe_1306",NULL,1496,173,"Otuzco","1306",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_02","state_pe_02","state_pe_0210",NULL,1497,173,"Huari","0210",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_08","state_pe_08","state_pe_0807",NULL,1498,173,"Chumbivilcas","0807",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1153,NULL
"state_pe_01","state_pe_01","state_pe_0104",NULL,1499,173,"Condorcanqui","0104",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_07","state_pe_07","state_pe_0701",NULL,1500,173,"Callao","0701",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1152,NULL
"state_pe_01","state_pe_01","state_pe_0105",NULL,1501,173,"Luya","0105",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1146,NULL
"state_pe_15","state_pe_15","state_pe_1510",NULL,1502,173,"Yauyos","1510",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1160,NULL
"state_pe_06","state_pe_06","state_pe_0611",NULL,1503,173,"San Miguel","0611",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1151,NULL
"state_pe_14","state_pe_14","state_pe_1402",NULL,1504,173,"Ferreñafe","1402",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1159,NULL
"state_pe_11","state_pe_11","state_pe_1102",NULL,1505,173,"Chincha","1102",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1156,NULL
"state_pe_12","state_pe_12","state_pe_1208",NULL,1506,173,"Yauli","1208",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1157,NULL
"state_pe_13","state_pe_13","state_pe_1311",NULL,1507,173,"Gran Chimu","1311",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_02","state_pe_02","state_pe_0220",NULL,1508,173,"Yungay","0220",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1147,NULL
"state_pe_04","state_pe_04","state_pe_0403",NULL,1509,173,"Caraveli","0403",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1149,NULL
"state_pe_09","state_pe_09","state_pe_0904",NULL,1510,173,"Castrovirreyna","0904",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1154,NULL
"state_pe_03","state_pe_03","state_pe_0304",NULL,1511,173,"Aymaraes","0304",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1148,NULL
"state_pe_13","state_pe_13","state_pe_1305",NULL,1512,173,"Julcan","1305",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1158,NULL
"state_pe_03","state_pe_03","state_pe_0303",NULL,1513,173,"Antabamba","0303",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1148,NULL
"state_pe_10","state_pe_10","state_pe_1006",NULL,1514,173,"Leoncio Prado","1006",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1155,NULL
"state_pe_20","state_pe_20","state_pe_2002",NULL,1515,173,"Ayabaca","2002",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1165,NULL
"state_pe_22","state_pe_22","state_pe_2210",NULL,1516,173,"Tocache","2210",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
"state_pe_22","state_pe_22","state_pe_2204",NULL,1517,173,"Huallaga","2204",1,"2022-02-03 03:31:54.123794",1,"2022-02-03 03:31:54.123794",1167,NULL
