"fsm_parent_id","description","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
"state_pe_02","Provincia","base.state_pe_02","odoope_toponyms.state_pe_0220",NULL,1412,173,"Yungay","0220",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1147,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0301",NULL,1413,173,"Abancay","0301",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0302",NULL,1414,173,"Andahuaylas","0302",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0303",NULL,1415,173,"Antabamba","0303",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0304",NULL,1416,173,"Aymaraes","0304",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0305",NULL,1417,173,"Cotabambas","0305",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0306",NULL,1418,173,"Chincheros","0306",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_03","Provincia","base.state_pe_03","odoope_toponyms.state_pe_0307",NULL,1419,173,"Grau","0307",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1148,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0401",NULL,1420,173,"Arequipa","0401",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0402",NULL,1421,173,"Camaná","0402",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0403",NULL,1422,173,"Caravelí","0403",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0404",NULL,1423,173,"Castilla","0404",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0405",NULL,1424,173,"Caylloma","0405",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0406",NULL,1425,173,"Condesuyos","0406",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0407",NULL,1426,173,"Islay","0407",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_04","Provincia","base.state_pe_04","odoope_toponyms.state_pe_0408",NULL,1427,173,"La Uniòn","0408",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1149,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0501",NULL,1428,173,"Huamanga","0501",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0502",NULL,1429,173,"Cangallo","0502",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0503",NULL,1430,173,"Huanca Sancos","0503",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0504",NULL,1431,173,"Huanta","0504",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0505",NULL,1432,173,"La Mar","0505",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0506",NULL,1433,173,"Lucanas","0506",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0507",NULL,1434,173,"Parinacochas","0507",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0508",NULL,1435,173,"Pàucar del Sara Sara","0508",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0509",NULL,1436,173,"Sucre","0509",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0510",NULL,1437,173,"Víctor Fajardo","0510",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_05","Provincia","base.state_pe_05","odoope_toponyms.state_pe_0511",NULL,1438,173,"Vilcas Huamán","0511",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1150,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0601",NULL,1439,173,"Cajamarca","0601",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0602",NULL,1440,173,"Cajabamba","0602",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0603",NULL,1441,173,"Celendín","0603",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0604",NULL,1442,173,"Chota","0604",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0605",NULL,1443,173,"Contumazá","0605",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0606",NULL,1444,173,"Cutervo","0606",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0607",NULL,1445,173,"Hualgayoc","0607",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0608",NULL,1446,173,"Jaén","0608",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0609",NULL,1447,173,"San Ignacio","0609",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0610",NULL,1448,173,"San Marcos","0610",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0611",NULL,1449,173,"San Miguel","0611",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0612",NULL,1450,173,"San Pablo","0612",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
"state_pe_06","Provincia","base.state_pe_06","odoope_toponyms.state_pe_0613",NULL,1451,173,"Santa Cruz","0613",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1151,NULL
